[ 2015-06-11T00:01:39+08:00 ] /thinkphpTest/ | INFO: Tag[ app_begin ] --START--
[ 2015-06-11T00:01:39+08:00 ] /thinkphpTest/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000985s ]
[ 2015-06-11T00:01:39+08:00 ] /thinkphpTest/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001090s ]
[ 2015-06-11T00:01:39+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined index:  customer_user BaseAction.class.php 第 7 行.
[ 2015-06-11T00:01:39+08:00 ] /thinkphpTest/ | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.082220s ]
[ 2015-06-11T00:01:39+08:00 ] /thinkphpTest/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` WHERE isSubmitted=1 LIMIT 1   [ RunTime:0.013782s ]
[ 2015-06-11T00:01:39+08:00 ] /thinkphpTest/ | SQL: SELECT * FROM `think_article` LEFT JOIN think_category on think_article.categoryId=think_category.categoryId WHERE isSubmitted=1 ORDER BY id LIMIT 0,5   [ RunTime:0.000497s ]
[ 2015-06-11T00:01:39+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined variable: next_link_cate IndexAction.class.php 第 28 行.
[ 2015-06-11T00:01:39+08:00 ] /thinkphpTest/ | SQL: SHOW COLUMNS FROM `think_category` [ RunTime:0.004249s ]
[ 2015-06-11T00:01:39+08:00 ] /thinkphpTest/ | SQL: SELECT * FROM `think_category`  [ RunTime:0.005570s ]
[ 2015-06-11T00:01:39+08:00 ] /thinkphpTest/ | INFO: Tag[ view_template ] --START--
[ 2015-06-11T00:01:39+08:00 ] /thinkphpTest/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002173s ]
[ 2015-06-11T00:01:39+08:00 ] /thinkphpTest/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002262s ]
[ 2015-06-11T00:01:39+08:00 ] /thinkphpTest/ | INFO: Tag[ view_parse ] --START--
[ 2015-06-11T00:01:39+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined index:  memo 7e4848229090366086cc7eeb3bfc0798.php 第 43 行.
