[ 2015-03-10T20:57:50+08:00 ] /thinkphpTest/ | INFO: Tag[ app_begin ] --START--
[ 2015-03-10T20:57:50+08:00 ] /thinkphpTest/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.031955s ]
[ 2015-03-10T20:57:50+08:00 ] /thinkphpTest/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.037416s ]
[ 2015-03-10T20:57:50+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined index:  customer_user BaseAction.class.php 第 7 行.
[ 2015-03-10T20:57:51+08:00 ] /thinkphpTest/ | SQL: SHOW COLUMNS FROM `think_memo` [ RunTime:0.066066s ]
[ 2015-03-10T20:57:51+08:00 ] /thinkphpTest/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_memo` LIMIT 1   [ RunTime:0.016591s ]
[ 2015-03-10T20:57:51+08:00 ] /thinkphpTest/ | SQL: SELECT * FROM `think_memo` ORDER BY id LIMIT 0,10   [ RunTime:0.000763s ]
[ 2015-03-10T20:57:51+08:00 ] /thinkphpTest/ | INFO: Tag[ view_template ] --START--
[ 2015-03-10T20:57:51+08:00 ] /thinkphpTest/ | INFO: Run LocationTemplate Behavior [ RunTime:0.037636s ]
[ 2015-03-10T20:57:51+08:00 ] /thinkphpTest/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.037913s ]
[ 2015-03-10T20:57:51+08:00 ] /thinkphpTest/ | INFO: Tag[ view_parse ] --START--
[ 2015-03-10T20:57:51+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined index:  index 2767ff004a369d449bef20cc368e0c28.php 第 44 行.
[ 2015-03-10T20:57:51+08:00 ] /thinkphpTest/ | INFO: Run ParseTemplate Behavior [ RunTime:0.330648s ]
[ 2015-03-10T20:57:51+08:00 ] /thinkphpTest/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.330867s ]
[ 2015-03-10T20:57:51+08:00 ] /thinkphpTest/ | INFO: Tag[ view_filter ] --START--
[ 2015-03-10T20:57:51+08:00 ] /thinkphpTest/ | INFO: Run ContentReplace Behavior [ RunTime:0.023547s ]
