[ 2015-06-02T14:30:50+08:00 ] /thinkphpTest/ | INFO: Tag[ app_begin ] --START--
[ 2015-06-02T14:30:51+08:00 ] /thinkphpTest/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.056489s ]
[ 2015-06-02T14:30:51+08:00 ] /thinkphpTest/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.083418s ]
[ 2015-06-02T14:30:51+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined index:  customer_user BaseAction.class.php 第 7 行.
[ 2015-06-02T14:30:51+08:00 ] /thinkphpTest/ | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.099854s ]
[ 2015-06-02T14:30:51+08:00 ] /thinkphpTest/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` WHERE isSubmitted=1 LIMIT 1   [ RunTime:0.055819s ]
[ 2015-06-02T14:30:51+08:00 ] /thinkphpTest/ | SQL: SELECT * FROM `think_article` LEFT JOIN think_category on think_article.categoryId=think_category.categoryId WHERE isSubmitted=1 ORDER BY id LIMIT 0,5   [ RunTime:0.064186s ]
[ 2015-06-02T14:30:51+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined variable: next_link_cate IndexAction.class.php 第 28 行.
[ 2015-06-02T14:30:51+08:00 ] /thinkphpTest/ | SQL: SHOW COLUMNS FROM `think_category` [ RunTime:0.005196s ]
[ 2015-06-02T14:30:51+08:00 ] /thinkphpTest/ | SQL: SELECT * FROM `think_category`  [ RunTime:0.040167s ]
[ 2015-06-02T14:30:51+08:00 ] /thinkphpTest/ | INFO: Tag[ view_template ] --START--
[ 2015-06-02T14:30:51+08:00 ] /thinkphpTest/ | INFO: Run LocationTemplate Behavior [ RunTime:0.078272s ]
[ 2015-06-02T14:30:51+08:00 ] /thinkphpTest/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.078565s ]
[ 2015-06-02T14:30:51+08:00 ] /thinkphpTest/ | INFO: Tag[ view_parse ] --START--
[ 2015-06-02T14:30:52+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined index:  memo 7e4848229090366086cc7eeb3bfc0798.php 第 43 行.
[ 2015-06-02T14:30:52+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined index:  works 7e4848229090366086cc7eeb3bfc0798.php 第 44 行.
[ 2015-06-02T14:30:52+08:00 ] /thinkphpTest/ | INFO: Run ParseTemplate Behavior [ RunTime:0.418899s ]
[ 2015-06-02T14:30:52+08:00 ] /thinkphpTest/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.419014s ]
[ 2015-06-02T14:30:52+08:00 ] /thinkphpTest/ | INFO: Tag[ view_filter ] --START--
[ 2015-06-02T14:30:52+08:00 ] /thinkphpTest/ | INFO: Run ContentReplace Behavior [ RunTime:0.016673s ]
[ 2015-06-02T14:30:52+08:00 ] /thinkphpTest/ | INFO: Run TokenBuild Behavior [ RunTime:0.013956s ]
