[ 2015-04-01T01:43:51+08:00 ] /thinkphpTest/ | INFO: Tag[ app_begin ] --START--
[ 2015-04-01T01:43:51+08:00 ] /thinkphpTest/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.005559s ]
[ 2015-04-01T01:43:51+08:00 ] /thinkphpTest/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.006044s ]
[ 2015-04-01T01:43:51+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined index:  customer_user BaseAction.class.php 第 7 行.
[ 2015-04-01T01:43:51+08:00 ] /thinkphpTest/ | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.110737s ]
[ 2015-04-01T01:43:51+08:00 ] /thinkphpTest/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` WHERE isSubmitted=1 LIMIT 1   [ RunTime:0.026073s ]
[ 2015-04-01T01:43:51+08:00 ] /thinkphpTest/ | SQL: SELECT * FROM `think_article` LEFT JOIN think_category on think_article.categoryId=think_category.categoryId WHERE isSubmitted=1 ORDER BY id LIMIT 0,5   [ RunTime:0.032927s ]
[ 2015-04-01T01:43:51+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined variable: next_link_cate IndexAction.class.php 第 28 行.
[ 2015-04-01T01:43:51+08:00 ] /thinkphpTest/ | SQL: SHOW COLUMNS FROM `think_category` [ RunTime:0.007035s ]
[ 2015-04-01T01:43:51+08:00 ] /thinkphpTest/ | SQL: SELECT * FROM `think_category`  [ RunTime:0.015352s ]
[ 2015-04-01T01:43:51+08:00 ] /thinkphpTest/ | INFO: Tag[ view_template ] --START--
[ 2015-04-01T01:43:51+08:00 ] /thinkphpTest/ | INFO: Run LocationTemplate Behavior [ RunTime:0.011776s ]
[ 2015-04-01T01:43:51+08:00 ] /thinkphpTest/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.012029s ]
[ 2015-04-01T01:43:51+08:00 ] /thinkphpTest/ | INFO: Tag[ view_parse ] --START--
[ 2015-04-01T01:43:52+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined index:  memo 7e4848229090366086cc7eeb3bfc0798.php 第 43 行.
[ 2015-04-01T01:43:52+08:00 ] /thinkphpTest/ | INFO: Run ParseTemplate Behavior [ RunTime:0.153846s ]
[ 2015-04-01T01:43:52+08:00 ] /thinkphpTest/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.154028s ]
[ 2015-04-01T01:43:52+08:00 ] /thinkphpTest/ | INFO: Tag[ view_filter ] --START--
[ 2015-04-01T01:43:52+08:00 ] /thinkphpTest/ | INFO: Run ContentReplace Behavior [ RunTime:0.002195s ]
[ 2015-04-01T01:43:52+08:00 ] /thinkphpTest/ | INFO: Run TokenBuild Behavior [ RunTime:0.002328s ]
[ 2015-04-01T01:43:52+08:00 ] /thinkphpTest/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001579s ]
[ 2015-04-01T01:43:52+08:00 ] /thinkphpTest/ | INFO: Run ShowRuntime Behavior [ RunTime:0.002149s ]
[ 2015-04-01T01:43:52+08:00 ] /thinkphpTest/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.008701s ]
[ 2015-04-01T01:43:52+08:00 ] /thinkphpTest/ | INFO: Tag[ view_end ] --START--
[ 2015-04-01T01:43:52+08:00 ] /thinkphpTest/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.003463s ]
[ 2015-04-01T01:43:52+08:00 ] /thinkphpTest/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.003749s ]
[ 2015-04-01T01:43:52+08:00 ] /thinkphpTest/ | INFO: Tag[ app_begin ] --START--
[ 2015-04-01T01:43:52+08:00 ] /thinkphpTest/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001845s ]
[ 2015-04-01T01:43:52+08:00 ] /thinkphpTest/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002161s ]
[ 2015-04-01T01:43:52+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined index:  customer_user BaseAction.class.php 第 7 行.
[ 2015-04-01T01:43:52+08:00 ] /thinkphpTest/ | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.012180s ]
[ 2015-04-01T01:43:52+08:00 ] /thinkphpTest/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` WHERE isSubmitted=1 LIMIT 1   [ RunTime:0.014524s ]
[ 2015-04-01T01:43:52+08:00 ] /thinkphpTest/ | SQL: SELECT * FROM `think_article` LEFT JOIN think_category on think_article.categoryId=think_category.categoryId WHERE isSubmitted=1 ORDER BY id LIMIT 0,5   [ RunTime:0.000591s ]
[ 2015-04-01T01:43:52+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined variable: next_link_cate IndexAction.class.php 第 28 行.
[ 2015-04-01T01:43:53+08:00 ] /thinkphpTest/ | SQL: SHOW COLUMNS FROM `think_category` [ RunTime:0.005726s ]
[ 2015-04-01T01:43:53+08:00 ] /thinkphpTest/ | SQL: SELECT * FROM `think_category`  [ RunTime:0.009077s ]
[ 2015-04-01T01:43:53+08:00 ] /thinkphpTest/ | INFO: Tag[ view_template ] --START--
[ 2015-04-01T01:43:53+08:00 ] /thinkphpTest/ | INFO: Run LocationTemplate Behavior [ RunTime:0.004589s ]
[ 2015-04-01T01:43:53+08:00 ] /thinkphpTest/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.004878s ]
[ 2015-04-01T01:43:53+08:00 ] /thinkphpTest/ | INFO: Tag[ view_parse ] --START--
[ 2015-04-01T01:43:53+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined index:  memo 7e4848229090366086cc7eeb3bfc0798.php 第 43 行.
[ 2015-04-01T01:43:53+08:00 ] /thinkphpTest/ | INFO: Run ParseTemplate Behavior [ RunTime:0.059786s ]
[ 2015-04-01T01:43:53+08:00 ] /thinkphpTest/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.059987s ]
[ 2015-04-01T01:43:53+08:00 ] /thinkphpTest/ | INFO: Tag[ view_filter ] --START--
[ 2015-04-01T01:43:53+08:00 ] /thinkphpTest/ | INFO: Run ContentReplace Behavior [ RunTime:0.000874s ]
[ 2015-04-01T01:43:53+08:00 ] /thinkphpTest/ | INFO: Run TokenBuild Behavior [ RunTime:0.000926s ]
[ 2015-04-01T01:43:53+08:00 ] /thinkphpTest/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000534s ]
[ 2015-04-01T01:43:53+08:00 ] /thinkphpTest/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001174s ]
[ 2015-04-01T01:43:53+08:00 ] /thinkphpTest/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003929s ]
[ 2015-04-01T01:43:53+08:00 ] /thinkphpTest/ | INFO: Tag[ view_end ] --START--
