[ 2015-02-15T17:29:08+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000931s ]
[ 2015-02-15T17:29:35+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2015-02-15T17:29:35+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.000919s ]
[ 2015-02-15T17:29:35+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001025s ]
[ 2015-02-15T17:29:35+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ app_begin ] --START--
[ 2015-02-15T17:29:35+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000562s ]
[ 2015-02-15T17:29:35+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000624s ]
[ 2015-02-15T17:29:35+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ view_template ] --START--
[ 2015-02-15T17:29:35+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000411s ]
[ 2015-02-15T17:29:35+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000478s ]
[ 2015-02-15T17:29:35+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ view_parse ] --START--
[ 2015-02-15T17:29:35+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.010217s ]
[ 2015-02-15T17:29:35+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010332s ]
[ 2015-02-15T17:29:35+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ view_filter ] --START--
[ 2015-02-15T17:29:35+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Run ContentReplace Behavior [ RunTime:0.000768s ]
[ 2015-02-15T17:29:35+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Run TokenBuild Behavior [ RunTime:0.001165s ]
[ 2015-02-15T17:29:35+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000737s ]
[ 2015-02-15T17:29:35+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000614s ]
[ 2015-02-15T17:29:35+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003644s ]
[ 2015-02-15T17:29:35+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ view_end ] --START--
[ 2015-02-15T17:29:35+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000592s ]
[ 2015-02-15T17:29:35+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000640s ]
[ 2015-02-15T17:30:03+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ route_check ] --START--
[ 2015-02-15T17:30:03+08:00 ] /thinkphpTest/index.php/ | INFO: Run CheckRoute Behavior [ RunTime:0.001220s ]
[ 2015-02-15T17:30:03+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001318s ]
[ 2015-02-15T17:30:03+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ app_begin ] --START--
[ 2015-02-15T17:30:03+08:00 ] /thinkphpTest/index.php/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000901s ]
[ 2015-02-15T17:30:03+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000955s ]
[ 2015-02-15T17:30:03+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_template ] --START--
[ 2015-02-15T17:30:03+08:00 ] /thinkphpTest/index.php/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001323s ]
[ 2015-02-15T17:30:03+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001432s ]
[ 2015-02-15T17:30:03+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_parse ] --START--
[ 2015-02-15T17:30:03+08:00 ] /thinkphpTest/index.php/ | INFO: Run ParseTemplate Behavior [ RunTime:0.014721s ]
[ 2015-02-15T17:30:03+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.014828s ]
[ 2015-02-15T17:30:03+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_filter ] --START--
[ 2015-02-15T17:30:03+08:00 ] /thinkphpTest/index.php/ | INFO: Run ContentReplace Behavior [ RunTime:0.000922s ]
[ 2015-02-15T17:30:03+08:00 ] /thinkphpTest/index.php/ | INFO: Run TokenBuild Behavior [ RunTime:0.000868s ]
[ 2015-02-15T17:30:03+08:00 ] /thinkphpTest/index.php/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000848s ]
[ 2015-02-15T17:30:03+08:00 ] /thinkphpTest/index.php/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001367s ]
[ 2015-02-15T17:30:03+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004229s ]
[ 2015-02-15T17:30:03+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_end ] --START--
[ 2015-02-15T17:30:03+08:00 ] /thinkphpTest/index.php/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001044s ]
[ 2015-02-15T17:30:03+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001110s ]
[ 2015-02-15T17:30:06+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ route_check ] --START--
[ 2015-02-15T17:30:06+08:00 ] /thinkphpTest/index.php/ | INFO: Run CheckRoute Behavior [ RunTime:0.000895s ]
[ 2015-02-15T17:30:06+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001016s ]
[ 2015-02-15T17:30:06+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ app_begin ] --START--
[ 2015-02-15T17:30:06+08:00 ] /thinkphpTest/index.php/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000580s ]
[ 2015-02-15T17:30:06+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000651s ]
[ 2015-02-15T17:30:06+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_template ] --START--
[ 2015-02-15T17:30:06+08:00 ] /thinkphpTest/index.php/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000440s ]
[ 2015-02-15T17:30:06+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000535s ]
[ 2015-02-15T17:30:06+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_parse ] --START--
[ 2015-02-15T17:30:06+08:00 ] /thinkphpTest/index.php/ | INFO: Run ParseTemplate Behavior [ RunTime:0.009794s ]
[ 2015-02-15T17:30:06+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009925s ]
[ 2015-02-15T17:30:06+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_filter ] --START--
[ 2015-02-15T17:30:06+08:00 ] /thinkphpTest/index.php/ | INFO: Run ContentReplace Behavior [ RunTime:0.000459s ]
[ 2015-02-15T17:30:06+08:00 ] /thinkphpTest/index.php/ | INFO: Run TokenBuild Behavior [ RunTime:0.000439s ]
[ 2015-02-15T17:30:06+08:00 ] /thinkphpTest/index.php/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000415s ]
[ 2015-02-15T17:30:06+08:00 ] /thinkphpTest/index.php/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000878s ]
[ 2015-02-15T17:30:06+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002538s ]
[ 2015-02-15T17:30:06+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_end ] --START--
[ 2015-02-15T17:30:06+08:00 ] /thinkphpTest/index.php/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001121s ]
[ 2015-02-15T17:30:06+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001297s ]
[ 2015-02-15T17:30:11+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Tag[ route_check ] --START--
[ 2015-02-15T17:30:11+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Run CheckRoute Behavior [ RunTime:0.000797s ]
[ 2015-02-15T17:30:11+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000903s ]
[ 2015-02-15T17:30:11+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Tag[ app_begin ] --START--
[ 2015-02-15T17:30:11+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000527s ]
[ 2015-02-15T17:30:11+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000590s ]
[ 2015-02-15T17:30:11+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Tag[ view_template ] --START--
[ 2015-02-15T17:30:11+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Run LocationTemplate Behavior [ RunTime:0.000359s ]
[ 2015-02-15T17:30:11+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000430s ]
[ 2015-02-15T17:30:11+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Tag[ view_parse ] --START--
[ 2015-02-15T17:30:11+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Run ParseTemplate Behavior [ RunTime:0.011312s ]
[ 2015-02-15T17:30:11+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011433s ]
[ 2015-02-15T17:30:11+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Tag[ view_filter ] --START--
[ 2015-02-15T17:30:11+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Run ContentReplace Behavior [ RunTime:0.000471s ]
[ 2015-02-15T17:30:11+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Run TokenBuild Behavior [ RunTime:0.000456s ]
[ 2015-02-15T17:30:11+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000244s ]
[ 2015-02-15T17:30:11+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Run ShowRuntime Behavior [ RunTime:0.000435s ]
[ 2015-02-15T17:30:11+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001794s ]
[ 2015-02-15T17:30:11+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Tag[ view_end ] --START--
[ 2015-02-15T17:30:11+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000433s ]
[ 2015-02-15T17:30:11+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000490s ]
[ 2015-02-15T17:30:31+08:00 ] /thinkphpTest/Public/Css/home/bootstrap.css.map | ERR: (ThinkException) 无法加载模块Public
[ 2015-02-15T17:32:24+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Tag[ route_check ] --START--
[ 2015-02-15T17:32:24+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Run CheckRoute Behavior [ RunTime:0.001347s ]
[ 2015-02-15T17:32:24+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001463s ]
[ 2015-02-15T17:32:24+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Tag[ app_begin ] --START--
[ 2015-02-15T17:32:24+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001104s ]
[ 2015-02-15T17:32:24+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001175s ]
[ 2015-02-15T17:32:24+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Tag[ view_template ] --START--
[ 2015-02-15T17:32:24+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Run LocationTemplate Behavior [ RunTime:0.001599s ]
[ 2015-02-15T17:32:24+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001691s ]
[ 2015-02-15T17:32:24+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Tag[ view_parse ] --START--
[ 2015-02-15T17:32:24+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Run ParseTemplate Behavior [ RunTime:0.013051s ]
[ 2015-02-15T17:32:24+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013143s ]
[ 2015-02-15T17:32:24+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Tag[ view_filter ] --START--
[ 2015-02-15T17:32:24+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Run ContentReplace Behavior [ RunTime:0.000799s ]
[ 2015-02-15T17:32:24+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Run TokenBuild Behavior [ RunTime:0.000834s ]
[ 2015-02-15T17:32:24+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000662s ]
[ 2015-02-15T17:32:24+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Run ShowRuntime Behavior [ RunTime:0.000836s ]
[ 2015-02-15T17:32:24+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003289s ]
[ 2015-02-15T17:32:24+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Tag[ view_end ] --START--
[ 2015-02-15T17:32:24+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000856s ]
[ 2015-02-15T17:32:24+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000909s ]
[ 2015-02-15T17:32:24+08:00 ] /thinkphpTest/Public/Css/home/bootstrap.css.map | ERR: (ThinkException) 无法加载模块Public
[ 2015-02-15T17:34:43+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Tag[ route_check ] --START--
[ 2015-02-15T17:34:43+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Run CheckRoute Behavior [ RunTime:0.001385s ]
[ 2015-02-15T17:34:43+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001518s ]
[ 2015-02-15T17:34:43+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Tag[ app_begin ] --START--
[ 2015-02-15T17:34:43+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001071s ]
[ 2015-02-15T17:34:43+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001133s ]
[ 2015-02-15T17:34:43+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Tag[ view_template ] --START--
[ 2015-02-15T17:34:43+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Run LocationTemplate Behavior [ RunTime:0.001347s ]
[ 2015-02-15T17:34:43+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001419s ]
[ 2015-02-15T17:34:43+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Tag[ view_parse ] --START--
[ 2015-02-15T17:34:43+08:00 ] /thinkphpTest/index.php/?__hash__=6b4f271ffcda9a0fbc2a03c26beb69dc_7c4a4673a9ea57354c24794c5dc252e5 | INFO: Run ParseTemplate Behavior [ RunTime:0.017283s ]
