[ 2015-03-24T00:03:12+08:00 ] /thinkphpTest/Login/createCode?code=27e8 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001366s ]
[ 2015-03-24T00:03:12+08:00 ] /thinkphpTest/Login/createCode?code=27e8 | NOTIC: [2] imagettftext() [<a href='function.imagettftext'>function.imagettftext</a>]: Invalid font filename LoginAction.class.php 第 94 行.
[ 2015-03-24T00:03:12+08:00 ] /thinkphpTest/Login/createCode?code=27e8 | NOTIC: [2] imagettftext() [<a href='function.imagettftext'>function.imagettftext</a>]: Invalid font filename LoginAction.class.php 第 94 行.
[ 2015-03-24T00:03:12+08:00 ] /thinkphpTest/Login/createCode?code=27e8 | NOTIC: [2] imagettftext() [<a href='function.imagettftext'>function.imagettftext</a>]: Invalid font filename LoginAction.class.php 第 94 行.
[ 2015-03-24T00:03:12+08:00 ] /thinkphpTest/Login/createCode?code=27e8 | NOTIC: [2] imagettftext() [<a href='function.imagettftext'>function.imagettftext</a>]: Invalid font filename LoginAction.class.php 第 94 行.
[ 2015-03-24T00:04:20+08:00 ] /thinkphpTest/Login/register | INFO: Tag[ route_check ] --START--
[ 2015-03-24T00:04:20+08:00 ] /thinkphpTest/Login/register | INFO: Run CheckRoute Behavior [ RunTime:0.001339s ]
[ 2015-03-24T00:04:20+08:00 ] /thinkphpTest/Login/register | INFO: Tag[ route_check ] --END-- [ RunTime:0.001513s ]
[ 2015-03-24T00:04:20+08:00 ] /thinkphpTest/Login/register | INFO: Tag[ app_begin ] --START--
[ 2015-03-24T00:04:20+08:00 ] /thinkphpTest/Login/register | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001249s ]
[ 2015-03-24T00:04:20+08:00 ] /thinkphpTest/Login/register | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001371s ]
[ 2015-03-24T00:04:20+08:00 ] /thinkphpTest/Login/register | INFO: Tag[ view_template ] --START--
[ 2015-03-24T00:04:20+08:00 ] /thinkphpTest/Login/register | INFO: Run LocationTemplate Behavior [ RunTime:0.002970s ]
[ 2015-03-24T00:04:20+08:00 ] /thinkphpTest/Login/register | INFO: Tag[ view_template ] --END-- [ RunTime:0.003234s ]
[ 2015-03-24T00:04:20+08:00 ] /thinkphpTest/Login/register | INFO: Tag[ view_parse ] --START--
[ 2015-03-24T00:04:20+08:00 ] /thinkphpTest/Login/register | INFO: Run ParseTemplate Behavior [ RunTime:0.012443s ]
[ 2015-03-24T00:04:20+08:00 ] /thinkphpTest/Login/register | INFO: Tag[ view_parse ] --END-- [ RunTime:0.012575s ]
[ 2015-03-24T00:04:20+08:00 ] /thinkphpTest/Login/register | INFO: Tag[ view_filter ] --START--
[ 2015-03-24T00:04:20+08:00 ] /thinkphpTest/Login/register | INFO: Run ContentReplace Behavior [ RunTime:0.001232s ]
[ 2015-03-24T00:04:20+08:00 ] /thinkphpTest/Login/register | INFO: Run TokenBuild Behavior [ RunTime:0.000863s ]
[ 2015-03-24T00:04:20+08:00 ] /thinkphpTest/Login/register | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000643s ]
[ 2015-03-24T00:04:20+08:00 ] /thinkphpTest/Login/register | INFO: Run ShowRuntime Behavior [ RunTime:0.000830s ]
[ 2015-03-24T00:04:20+08:00 ] /thinkphpTest/Login/register | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003760s ]
[ 2015-03-24T00:04:20+08:00 ] /thinkphpTest/Login/register | INFO: Tag[ view_end ] --START--
[ 2015-03-24T00:04:20+08:00 ] /thinkphpTest/Login/register | INFO: Run ShowPageTrace Behavior [ RunTime:0.000827s ]
[ 2015-03-24T00:04:20+08:00 ] /thinkphpTest/Login/register | INFO: Tag[ view_end ] --END-- [ RunTime:0.000881s ]
[ 2015-03-24T00:04:20+08:00 ] /thinkphpTest/Public/Css/home/bootstrap.css.map | ERR: (ThinkException) 无法加载模块Public
[ 2015-03-24T00:04:20+08:00 ] /thinkphpTest/Login/register | INFO: Tag[ route_check ] --START--
[ 2015-03-24T00:04:20+08:00 ] /thinkphpTest/Login/register | INFO: Run CheckRoute Behavior [ RunTime:0.001159s ]
[ 2015-03-24T00:04:20+08:00 ] /thinkphpTest/Login/register | INFO: Tag[ route_check ] --END-- [ RunTime:0.001315s ]
[ 2015-03-24T00:04:20+08:00 ] /thinkphpTest/Login/register | INFO: Tag[ app_begin ] --START--
[ 2015-03-24T00:04:20+08:00 ] /thinkphpTest/Login/register | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000707s ]
[ 2015-03-24T00:04:20+08:00 ] /thinkphpTest/Login/register | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000800s ]
[ 2015-03-24T00:04:20+08:00 ] /thinkphpTest/Login/register | INFO: Tag[ view_template ] --START--
[ 2015-03-24T00:04:20+08:00 ] /thinkphpTest/Login/register | INFO: Run LocationTemplate Behavior [ RunTime:0.004087s ]
[ 2015-03-24T00:04:20+08:00 ] /thinkphpTest/Login/register | INFO: Tag[ view_template ] --END-- [ RunTime:0.004472s ]
[ 2015-03-24T00:04:20+08:00 ] /thinkphpTest/Login/register | INFO: Tag[ view_parse ] --START--
[ 2015-03-24T00:04:20+08:00 ] /thinkphpTest/Login/register | INFO: Run ParseTemplate Behavior [ RunTime:0.019688s ]
[ 2015-03-24T00:04:20+08:00 ] /thinkphpTest/Login/register | INFO: Tag[ view_parse ] --END-- [ RunTime:0.019982s ]
[ 2015-03-24T00:04:20+08:00 ] /thinkphpTest/Login/register | INFO: Tag[ view_filter ] --START--
[ 2015-03-24T00:04:20+08:00 ] /thinkphpTest/Login/register | INFO: Run ContentReplace Behavior [ RunTime:0.001941s ]
[ 2015-03-24T00:04:20+08:00 ] /thinkphpTest/Login/register | INFO: Run TokenBuild Behavior [ RunTime:0.001480s ]
[ 2015-03-24T00:04:20+08:00 ] /thinkphpTest/Login/register | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002773s ]
[ 2015-03-24T00:04:20+08:00 ] /thinkphpTest/Login/register | INFO: Run ShowRuntime Behavior [ RunTime:0.002907s ]
[ 2015-03-24T00:04:20+08:00 ] /thinkphpTest/Login/register | INFO: Tag[ view_filter ] --END-- [ RunTime:0.009681s ]
[ 2015-03-24T00:04:20+08:00 ] /thinkphpTest/Login/register | INFO: Tag[ view_end ] --START--
[ 2015-03-24T00:04:20+08:00 ] /thinkphpTest/Login/register | INFO: Run ShowPageTrace Behavior [ RunTime:0.002217s ]
[ 2015-03-24T00:04:20+08:00 ] /thinkphpTest/Login/register | INFO: Tag[ view_end ] --END-- [ RunTime:0.002334s ]
[ 2015-03-24T00:04:21+08:00 ] /thinkphpTest/Login/createCode?code=3787 | INFO: Tag[ route_check ] --START--
[ 2015-03-24T00:04:21+08:00 ] /thinkphpTest/Login/createCode?code=3787 | INFO: Run CheckRoute Behavior [ RunTime:0.000739s ]
[ 2015-03-24T00:04:21+08:00 ] /thinkphpTest/Login/createCode?code=3787 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000842s ]
[ 2015-03-24T00:04:21+08:00 ] /thinkphpTest/Login/createCode?code=3787 | INFO: Tag[ app_begin ] --START--
[ 2015-03-24T00:04:21+08:00 ] /thinkphpTest/Login/createCode?code=3787 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000444s ]
