[ 2015-02-28T01:24:29+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2015-02-28T01:24:30+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.001426s ]
[ 2015-02-28T01:24:30+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001552s ]
[ 2015-02-28T01:24:30+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2015-02-28T01:24:30+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000560s ]
[ 2015-02-28T01:24:30+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000624s ]
[ 2015-02-28T01:24:30+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2015-02-28T01:24:30+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001080s ]
[ 2015-02-28T01:24:30+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001149s ]
[ 2015-02-28T01:24:30+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2015-02-28T01:24:30+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.015268s ]
[ 2015-02-28T01:24:30+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015370s ]
[ 2015-02-28T01:24:30+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2015-02-28T01:24:30+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.000436s ]
[ 2015-02-28T01:24:30+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.000433s ]
[ 2015-02-28T01:24:30+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000240s ]
[ 2015-02-28T01:24:30+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000461s ]
[ 2015-02-28T01:24:30+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001743s ]
[ 2015-02-28T01:24:30+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2015-02-28T01:24:30+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000474s ]
[ 2015-02-28T01:24:30+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000536s ]
[ 2015-02-28T01:24:30+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2015-02-28T01:24:30+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.000689s ]
[ 2015-02-28T01:24:30+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000778s ]
[ 2015-02-28T01:24:30+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2015-02-28T01:24:30+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000450s ]
[ 2015-02-28T01:24:30+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000501s ]
[ 2015-02-28T01:24:30+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2015-02-28T01:24:30+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000526s ]
[ 2015-02-28T01:24:30+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000601s ]
[ 2015-02-28T01:24:30+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2015-02-28T01:24:30+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.011482s ]
[ 2015-02-28T01:24:30+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011569s ]
[ 2015-02-28T01:24:30+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2015-02-28T01:24:30+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.000313s ]
[ 2015-02-28T01:24:30+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.000365s ]
[ 2015-02-28T01:24:30+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000190s ]
[ 2015-02-28T01:24:30+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000348s ]
[ 2015-02-28T01:24:30+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001352s ]
[ 2015-02-28T01:24:30+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2015-02-28T01:24:30+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000370s ]
[ 2015-02-28T01:24:30+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000417s ]
[ 2015-02-28T01:24:31+08:00 ] /thinkphpTest/index.php/Login/createCode?code=b6c4 | INFO: Tag[ route_check ] --START--
[ 2015-02-28T01:24:31+08:00 ] /thinkphpTest/index.php/Login/createCode?code=b6c4 | INFO: Run CheckRoute Behavior [ RunTime:0.000816s ]
[ 2015-02-28T01:24:31+08:00 ] /thinkphpTest/index.php/Login/createCode?code=b6c4 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000922s ]
[ 2015-02-28T01:24:31+08:00 ] /thinkphpTest/index.php/Login/createCode?code=b6c4 | INFO: Tag[ app_begin ] --START--
[ 2015-02-28T01:24:31+08:00 ] /thinkphpTest/index.php/Login/createCode?code=b6c4 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000535s ]
[ 2015-02-28T01:24:31+08:00 ] /thinkphpTest/index.php/Login/createCode?code=b6c4 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000594s ]
[ 2015-02-28T01:24:40+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2015-02-28T01:24:40+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.000752s ]
[ 2015-02-28T01:24:40+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000849s ]
[ 2015-02-28T01:24:40+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ app_begin ] --START--
[ 2015-02-28T01:24:40+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000419s ]
[ 2015-02-28T01:24:40+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000470s ]
[ 2015-02-28T01:24:40+08:00 ] /thinkphpTest/index.php/Index/index | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.003188s ]
[ 2015-02-28T01:24:40+08:00 ] /thinkphpTest/index.php/Index/index | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` WHERE isSubmitted=1 LIMIT 1   [ RunTime:0.006687s ]
[ 2015-02-28T01:24:40+08:00 ] /thinkphpTest/index.php/Index/index | SQL: SELECT * FROM `think_article` LEFT JOIN think_category on think_article.categoryId=think_category.categoryId WHERE isSubmitted=1 LIMIT 0,5   [ RunTime:0.000267s ]
[ 2015-02-28T01:24:40+08:00 ] /thinkphpTest/index.php/Index/index | NOTIC: [8] Undefined variable: next_link_cate IndexAction.class.php 第 28 行.
[ 2015-02-28T01:24:40+08:00 ] /thinkphpTest/index.php/Index/index | SQL: SHOW COLUMNS FROM `think_category` [ RunTime:0.002675s ]
[ 2015-02-28T01:24:40+08:00 ] /thinkphpTest/index.php/Index/index | SQL: SELECT * FROM `think_category`  [ RunTime:0.004936s ]
[ 2015-02-28T01:24:40+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ view_template ] --START--
[ 2015-02-28T01:24:40+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001469s ]
[ 2015-02-28T01:24:40+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001528s ]
[ 2015-02-28T01:24:40+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ view_parse ] --START--
[ 2015-02-28T01:24:40+08:00 ] /thinkphpTest/index.php/Index/index | NOTIC: [8] Undefined index:  memo 7e4848229090366086cc7eeb3bfc0798.php 第 43 行.
