[ 2015-03-01T23:15:51+08:00 ] /thinkphpTest/ueditor/themes/default/ueditor.css | ERR: (ThinkException) 无法加载模块ueditor
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | INFO: Run ParseTemplate Behavior [ RunTime:0.028277s ]
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.028348s ]
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | INFO: Tag[ view_filter ] --START--
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | INFO: Run ContentReplace Behavior [ RunTime:0.000856s ]
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | INFO: Run TokenBuild Behavior [ RunTime:0.000797s ]
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000641s ]
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000817s ]
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003282s ]
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | INFO: Tag[ view_end ] --START--
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000794s ]
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000845s ]
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | INFO: Tag[ app_begin ] --START--
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001325s ]
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001421s ]
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined index:  customer_user BaseAction.class.php 第 7 行.
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.004023s ]
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` WHERE isSubmitted=1 LIMIT 1   [ RunTime:0.004870s ]
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | SQL: SELECT * FROM `think_article` LEFT JOIN think_category on think_article.categoryId=think_category.categoryId WHERE isSubmitted=1 LIMIT 0,5   [ RunTime:0.000274s ]
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined variable: next_link_cate IndexAction.class.php 第 28 行.
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | SQL: SHOW COLUMNS FROM `think_category` [ RunTime:0.002466s ]
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | SQL: SELECT * FROM `think_category`  [ RunTime:0.002938s ]
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | INFO: Tag[ view_template ] --START--
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002281s ]
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002347s ]
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | INFO: Tag[ view_parse ] --START--
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined index:  memo 7e4848229090366086cc7eeb3bfc0798.php 第 43 行.
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | INFO: Run ParseTemplate Behavior [ RunTime:0.019596s ]
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.019667s ]
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | INFO: Tag[ view_filter ] --START--
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | INFO: Run ContentReplace Behavior [ RunTime:0.001209s ]
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | INFO: Run TokenBuild Behavior [ RunTime:0.001194s ]
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001025s ]
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001208s ]
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004795s ]
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | INFO: Tag[ view_end ] --START--
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001207s ]
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001263s ]
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ route_check ] --START--
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.001910s ]
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002113s ]
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ app_begin ] --START--
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001658s ]
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001727s ]
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | NOTIC: [8] Undefined index:  customer_user BaseAction.class.php 第 7 行.
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.006518s ]
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` WHERE isSubmitted=1 LIMIT 1   [ RunTime:0.005572s ]
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | SQL: SELECT * FROM `think_article` LEFT JOIN think_category on think_article.categoryId=think_category.categoryId WHERE isSubmitted=1 LIMIT 0,5   [ RunTime:0.000342s ]
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | NOTIC: [8] Undefined variable: next_link_cate IndexAction.class.php 第 28 行.
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | SQL: SHOW COLUMNS FROM `think_category` [ RunTime:0.002655s ]
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | SQL: SELECT * FROM `think_category`  [ RunTime:0.002871s ]
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_template ] --START--
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001970s ]
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.002035s ]
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_parse ] --START--
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | NOTIC: [8] Undefined index:  memo 7e4848229090366086cc7eeb3bfc0798.php 第 43 行.
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.021510s ]
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.021591s ]
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_filter ] --START--
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | INFO: Run ContentReplace Behavior [ RunTime:0.001258s ]
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | INFO: Run TokenBuild Behavior [ RunTime:0.001563s ]
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000998s ]
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001151s ]
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005153s ]
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_end ] --START--
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001240s ]
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001294s ]
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ route_check ] --START--
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.002298s ]
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002465s ]
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ app_begin ] --START--
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001461s ]
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001543s ]
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | NOTIC: [8] Undefined index:  customer_user BaseAction.class.php 第 7 行.
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.004122s ]
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` WHERE isSubmitted=1 LIMIT 1   [ RunTime:0.004839s ]
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | SQL: SELECT * FROM `think_article` LEFT JOIN think_category on think_article.categoryId=think_category.categoryId WHERE isSubmitted=1 LIMIT 0,5   [ RunTime:0.000339s ]
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | NOTIC: [8] Undefined variable: next_link_cate IndexAction.class.php 第 28 行.
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | SQL: SHOW COLUMNS FROM `think_category` [ RunTime:0.002666s ]
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | SQL: SELECT * FROM `think_category`  [ RunTime:0.002863s ]
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_template ] --START--
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001868s ]
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001931s ]
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_parse ] --START--
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | NOTIC: [8] Undefined index:  memo 7e4848229090366086cc7eeb3bfc0798.php 第 43 行.
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.019264s ]
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.019375s ]
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_filter ] --START--
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | INFO: Run ContentReplace Behavior [ RunTime:0.001209s ]
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | INFO: Run TokenBuild Behavior [ RunTime:0.001163s ]
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000989s ]
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001231s ]
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004751s ]
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_end ] --START--
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001192s ]
[ 2015-03-01T23:24:54+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001255s ]
[ 2015-03-01T23:24:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ route_check ] --START--
[ 2015-03-01T23:24:56+08:00 ] /thinkphpTest/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.003169s ]
[ 2015-03-01T23:24:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.003373s ]
[ 2015-03-01T23:24:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ app_begin ] --START--
[ 2015-03-01T23:24:56+08:00 ] /thinkphpTest/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001558s ]
[ 2015-03-01T23:24:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001680s ]
[ 2015-03-01T23:24:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_template ] --START--
[ 2015-03-01T23:24:56+08:00 ] /thinkphpTest/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.002077s ]
[ 2015-03-01T23:24:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.002182s ]
[ 2015-03-01T23:24:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_parse ] --START--
[ 2015-03-01T23:24:56+08:00 ] /thinkphpTest/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.016572s ]
[ 2015-03-01T23:24:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.016689s ]
[ 2015-03-01T23:24:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_filter ] --START--
[ 2015-03-01T23:24:56+08:00 ] /thinkphpTest/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.001326s ]
[ 2015-03-01T23:24:56+08:00 ] /thinkphpTest/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.001214s ]
[ 2015-03-01T23:24:56+08:00 ] /thinkphpTest/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001387s ]
[ 2015-03-01T23:24:56+08:00 ] /thinkphpTest/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.002703s ]
[ 2015-03-01T23:24:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006973s ]
[ 2015-03-01T23:24:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_end ] --START--
[ 2015-03-01T23:24:56+08:00 ] /thinkphpTest/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001399s ]
[ 2015-03-01T23:24:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001456s ]
[ 2015-03-01T23:24:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ route_check ] --START--
[ 2015-03-01T23:24:56+08:00 ] /thinkphpTest/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.002237s ]
[ 2015-03-01T23:24:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002398s ]
[ 2015-03-01T23:24:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ app_begin ] --START--
[ 2015-03-01T23:24:56+08:00 ] /thinkphpTest/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000586s ]
[ 2015-03-01T23:24:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000644s ]
[ 2015-03-01T23:24:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_template ] --START--
[ 2015-03-01T23:24:56+08:00 ] /thinkphpTest/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.002479s ]
[ 2015-03-01T23:24:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.002599s ]
[ 2015-03-01T23:24:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_parse ] --START--
[ 2015-03-01T23:24:56+08:00 ] /thinkphpTest/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.015796s ]
[ 2015-03-01T23:24:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015898s ]
[ 2015-03-01T23:24:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_filter ] --START--
[ 2015-03-01T23:24:56+08:00 ] /thinkphpTest/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.000368s ]
[ 2015-03-01T23:24:56+08:00 ] /thinkphpTest/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.000425s ]
[ 2015-03-01T23:24:56+08:00 ] /thinkphpTest/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000218s ]
[ 2015-03-01T23:24:56+08:00 ] /thinkphpTest/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2015-03-01T23:24:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002165s ]
[ 2015-03-01T23:24:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_end ] --START--
[ 2015-03-01T23:24:56+08:00 ] /thinkphpTest/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000361s ]
[ 2015-03-01T23:24:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000411s ]
