[ 2015-03-01T23:15:51+08:00 ] /thinkphpTest/ueditor/themes/default/ueditor.css | ERR: (ThinkException) 无法加载模块ueditor
[ 2015-03-01T23:23:08+08:00 ] /thinkphpTest/ | INFO: Tag[ app_begin ] --START--
[ 2015-03-01T23:23:08+08:00 ] /thinkphpTest/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002772s ]
[ 2015-03-01T23:23:08+08:00 ] /thinkphpTest/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003113s ]
[ 2015-03-01T23:23:08+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined index:  customer_user BaseAction.class.php 第 7 行.
[ 2015-03-01T23:23:08+08:00 ] /thinkphpTest/ | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.007909s ]
[ 2015-03-01T23:23:08+08:00 ] /thinkphpTest/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` WHERE isSubmitted=1 LIMIT 1   [ RunTime:0.005526s ]
[ 2015-03-01T23:23:08+08:00 ] /thinkphpTest/ | SQL: SELECT * FROM `think_article` LEFT JOIN think_category on think_article.categoryId=think_category.categoryId WHERE isSubmitted=1 LIMIT 0,5   [ RunTime:0.119744s ]
[ 2015-03-01T23:23:08+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined variable: next_link_cate IndexAction.class.php 第 28 行.
[ 2015-03-01T23:23:08+08:00 ] /thinkphpTest/ | SQL: SHOW COLUMNS FROM `think_category` [ RunTime:0.017367s ]
[ 2015-03-01T23:23:08+08:00 ] /thinkphpTest/ | SQL: SELECT * FROM `think_category`  [ RunTime:0.015345s ]
[ 2015-03-01T23:23:08+08:00 ] /thinkphpTest/ | INFO: Tag[ view_template ] --START--
[ 2015-03-01T23:23:08+08:00 ] /thinkphpTest/ | INFO: Run LocationTemplate Behavior [ RunTime:0.005812s ]
[ 2015-03-01T23:23:08+08:00 ] /thinkphpTest/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.005985s ]
[ 2015-03-01T23:23:08+08:00 ] /thinkphpTest/ | INFO: Tag[ view_parse ] --START--
[ 2015-03-01T23:23:08+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined index:  memo 7e4848229090366086cc7eeb3bfc0798.php 第 43 行.
[ 2015-03-01T23:23:08+08:00 ] /thinkphpTest/ | INFO: Run ParseTemplate Behavior [ RunTime:0.048402s ]
[ 2015-03-01T23:23:08+08:00 ] /thinkphpTest/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.048517s ]
[ 2015-03-01T23:23:08+08:00 ] /thinkphpTest/ | INFO: Tag[ view_filter ] --START--
[ 2015-03-01T23:23:08+08:00 ] /thinkphpTest/ | INFO: Run ContentReplace Behavior [ RunTime:0.000770s ]
[ 2015-03-01T23:23:08+08:00 ] /thinkphpTest/ | INFO: Run TokenBuild Behavior [ RunTime:0.000765s ]
[ 2015-03-01T23:23:08+08:00 ] /thinkphpTest/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000640s ]
[ 2015-03-01T23:23:08+08:00 ] /thinkphpTest/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001386s ]
[ 2015-03-01T23:23:08+08:00 ] /thinkphpTest/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003722s ]
[ 2015-03-01T23:23:08+08:00 ] /thinkphpTest/ | INFO: Tag[ view_end ] --START--
[ 2015-03-01T23:23:08+08:00 ] /thinkphpTest/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000874s ]
[ 2015-03-01T23:23:08+08:00 ] /thinkphpTest/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000936s ]
[ 2015-03-01T23:23:09+08:00 ] /thinkphpTest/ | INFO: Tag[ app_begin ] --START--
[ 2015-03-01T23:23:09+08:00 ] /thinkphpTest/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000721s ]
[ 2015-03-01T23:23:09+08:00 ] /thinkphpTest/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000828s ]
[ 2015-03-01T23:23:09+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined index:  customer_user BaseAction.class.php 第 7 行.
[ 2015-03-01T23:23:09+08:00 ] /thinkphpTest/ | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.004389s ]
[ 2015-03-01T23:23:09+08:00 ] /thinkphpTest/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` WHERE isSubmitted=1 LIMIT 1   [ RunTime:0.004652s ]
[ 2015-03-01T23:23:09+08:00 ] /thinkphpTest/ | SQL: SELECT * FROM `think_article` LEFT JOIN think_category on think_article.categoryId=think_category.categoryId WHERE isSubmitted=1 LIMIT 0,5   [ RunTime:0.000373s ]
[ 2015-03-01T23:23:09+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined variable: next_link_cate IndexAction.class.php 第 28 行.
[ 2015-03-01T23:23:09+08:00 ] /thinkphpTest/ | SQL: SHOW COLUMNS FROM `think_category` [ RunTime:0.002422s ]
[ 2015-03-01T23:23:09+08:00 ] /thinkphpTest/ | SQL: SELECT * FROM `think_category`  [ RunTime:0.014754s ]
[ 2015-03-01T23:23:09+08:00 ] /thinkphpTest/ | INFO: Tag[ view_template ] --START--
[ 2015-03-01T23:23:09+08:00 ] /thinkphpTest/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001837s ]
[ 2015-03-01T23:23:09+08:00 ] /thinkphpTest/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001897s ]
[ 2015-03-01T23:23:09+08:00 ] /thinkphpTest/ | INFO: Tag[ view_parse ] --START--
[ 2015-03-01T23:23:09+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined index:  memo 7e4848229090366086cc7eeb3bfc0798.php 第 43 行.
[ 2015-03-01T23:23:09+08:00 ] /thinkphpTest/ | INFO: Run ParseTemplate Behavior [ RunTime:0.018084s ]
[ 2015-03-01T23:23:09+08:00 ] /thinkphpTest/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.018161s ]
[ 2015-03-01T23:23:09+08:00 ] /thinkphpTest/ | INFO: Tag[ view_filter ] --START--
[ 2015-03-01T23:23:09+08:00 ] /thinkphpTest/ | INFO: Run ContentReplace Behavior [ RunTime:0.000390s ]
[ 2015-03-01T23:23:09+08:00 ] /thinkphpTest/ | INFO: Run TokenBuild Behavior [ RunTime:0.000366s ]
[ 2015-03-01T23:23:09+08:00 ] /thinkphpTest/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000212s ]
[ 2015-03-01T23:23:09+08:00 ] /thinkphpTest/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001139s ]
[ 2015-03-01T23:23:09+08:00 ] /thinkphpTest/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002262s ]
[ 2015-03-01T23:23:09+08:00 ] /thinkphpTest/ | INFO: Tag[ view_end ] --START--
[ 2015-03-01T23:23:09+08:00 ] /thinkphpTest/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000410s ]
[ 2015-03-01T23:23:09+08:00 ] /thinkphpTest/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000465s ]
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | INFO: Tag[ app_begin ] --START--
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001719s ]
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002349s ]
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined index:  customer_user BaseAction.class.php 第 7 行.
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.004863s ]
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` WHERE isSubmitted=1 LIMIT 1   [ RunTime:0.009161s ]
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | SQL: SELECT * FROM `think_article` LEFT JOIN think_category on think_article.categoryId=think_category.categoryId WHERE isSubmitted=1 LIMIT 0,5   [ RunTime:0.000350s ]
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined variable: next_link_cate IndexAction.class.php 第 28 行.
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | SQL: SHOW COLUMNS FROM `think_category` [ RunTime:0.003034s ]
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | SQL: SELECT * FROM `think_category`  [ RunTime:0.002853s ]
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | INFO: Tag[ view_template ] --START--
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001546s ]
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001604s ]
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | INFO: Tag[ view_parse ] --START--
[ 2015-03-01T23:24:53+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined index:  memo 7e4848229090366086cc7eeb3bfc0798.php 第 43 行.
