[ 2015-03-02T00:19:28+08:00 ] /thinkphpTest/ueditor/themes/default/ueditor.css | ERR: (ThinkException) 无法加载模块ueditor
[ 2015-03-02T00:32:50+08:00 ] /thinkphpTest/ueditor/themes/default/ueditor.css | ERR: (ThinkException) 无法加载模块ueditor
[ 2015-03-02T00:32:51+08:00 ] /thinkphpTest/ueditor/themes/default/ueditor.css | ERR: (ThinkException) 无法加载模块ueditor
[ 2015-03-02T00:32:52+08:00 ] /thinkphpTest/ueditor/themes/default/ueditor.css | ERR: (ThinkException) 无法加载模块ueditor
[ 2015-03-02T00:32:52+08:00 ] /thinkphpTest/ueditor/themes/default/ueditor.css | ERR: (ThinkException) 无法加载模块ueditor
[ 2015-03-02T00:33:13+08:00 ] /thinkphpTest/ | INFO: Tag[ app_begin ] --START--
[ 2015-03-02T00:33:13+08:00 ] /thinkphpTest/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002190s ]
[ 2015-03-02T00:33:13+08:00 ] /thinkphpTest/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002372s ]
[ 2015-03-02T00:33:13+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined index:  customer_user BaseAction.class.php 第 7 行.
[ 2015-03-02T00:33:14+08:00 ] /thinkphpTest/ | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.004170s ]
[ 2015-03-02T00:33:14+08:00 ] /thinkphpTest/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` WHERE isSubmitted=1 LIMIT 1   [ RunTime:0.005595s ]
[ 2015-03-02T00:33:14+08:00 ] /thinkphpTest/ | SQL: SELECT * FROM `think_article` LEFT JOIN think_category on think_article.categoryId=think_category.categoryId WHERE isSubmitted=1 LIMIT 0,5   [ RunTime:0.001538s ]
[ 2015-03-02T00:33:14+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined variable: next_link_cate IndexAction.class.php 第 28 行.
[ 2015-03-02T00:33:14+08:00 ] /thinkphpTest/ | SQL: SHOW COLUMNS FROM `think_category` [ RunTime:0.004355s ]
[ 2015-03-02T00:33:14+08:00 ] /thinkphpTest/ | SQL: SELECT * FROM `think_category`  [ RunTime:0.008339s ]
[ 2015-03-02T00:33:14+08:00 ] /thinkphpTest/ | INFO: Tag[ view_template ] --START--
[ 2015-03-02T00:33:14+08:00 ] /thinkphpTest/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002903s ]
[ 2015-03-02T00:33:14+08:00 ] /thinkphpTest/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.003062s ]
[ 2015-03-02T00:33:14+08:00 ] /thinkphpTest/ | INFO: Tag[ view_parse ] --START--
[ 2015-03-02T00:33:14+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined index:  memo 7e4848229090366086cc7eeb3bfc0798.php 第 43 行.
[ 2015-03-02T00:33:14+08:00 ] /thinkphpTest/ | INFO: Run ParseTemplate Behavior [ RunTime:0.057177s ]
[ 2015-03-02T00:33:14+08:00 ] /thinkphpTest/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.057446s ]
[ 2015-03-02T00:33:14+08:00 ] /thinkphpTest/ | INFO: Tag[ view_filter ] --START--
[ 2015-03-02T00:33:14+08:00 ] /thinkphpTest/ | INFO: Run ContentReplace Behavior [ RunTime:0.001279s ]
[ 2015-03-02T00:33:14+08:00 ] /thinkphpTest/ | INFO: Run TokenBuild Behavior [ RunTime:0.001176s ]
[ 2015-03-02T00:33:14+08:00 ] /thinkphpTest/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000985s ]
[ 2015-03-02T00:33:14+08:00 ] /thinkphpTest/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001273s ]
[ 2015-03-02T00:33:14+08:00 ] /thinkphpTest/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004879s ]
