[ 2015-06-10T23:26:52+08:00 ] /thinkphpTest/ | INFO: Tag[ app_begin ] --START--
[ 2015-06-10T23:26:52+08:00 ] /thinkphpTest/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.019510s ]
[ 2015-06-10T23:26:52+08:00 ] /thinkphpTest/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.043269s ]
[ 2015-06-10T23:26:52+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined index:  customer_user BaseAction.class.php 第 7 行.
[ 2015-06-10T23:26:53+08:00 ] /thinkphpTest/ | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.142697s ]
[ 2015-06-10T23:26:53+08:00 ] /thinkphpTest/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` WHERE isSubmitted=1 LIMIT 1   [ RunTime:0.082305s ]
[ 2015-06-10T23:26:53+08:00 ] /thinkphpTest/ | SQL: SELECT * FROM `think_article` LEFT JOIN think_category on think_article.categoryId=think_category.categoryId WHERE isSubmitted=1 ORDER BY id LIMIT 0,5   [ RunTime:0.016001s ]
[ 2015-06-10T23:26:53+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined variable: next_link_cate IndexAction.class.php 第 28 行.
[ 2015-06-10T23:26:53+08:00 ] /thinkphpTest/ | SQL: SHOW COLUMNS FROM `think_category` [ RunTime:0.003484s ]
[ 2015-06-10T23:26:53+08:00 ] /thinkphpTest/ | SQL: SELECT * FROM `think_category`  [ RunTime:0.020645s ]
[ 2015-06-10T23:26:53+08:00 ] /thinkphpTest/ | INFO: Tag[ view_template ] --START--
[ 2015-06-10T23:26:53+08:00 ] /thinkphpTest/ | INFO: Run LocationTemplate Behavior [ RunTime:0.012083s ]
[ 2015-06-10T23:26:53+08:00 ] /thinkphpTest/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.012172s ]
[ 2015-06-10T23:26:53+08:00 ] /thinkphpTest/ | INFO: Tag[ view_parse ] --START--
[ 2015-06-10T23:26:53+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined index:  memo 7e4848229090366086cc7eeb3bfc0798.php 第 43 行.
[ 2015-06-10T23:26:53+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined index:  works 7e4848229090366086cc7eeb3bfc0798.php 第 44 行.
[ 2015-06-10T23:26:53+08:00 ] /thinkphpTest/ | INFO: Run ParseTemplate Behavior [ RunTime:0.236779s ]
[ 2015-06-10T23:26:53+08:00 ] /thinkphpTest/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.236930s ]
[ 2015-06-10T23:26:53+08:00 ] /thinkphpTest/ | INFO: Tag[ view_filter ] --START--
[ 2015-06-10T23:26:53+08:00 ] /thinkphpTest/ | INFO: Run ContentReplace Behavior [ RunTime:0.020048s ]
[ 2015-06-10T23:26:53+08:00 ] /thinkphpTest/ | INFO: Run TokenBuild Behavior [ RunTime:0.013982s ]
[ 2015-06-10T23:26:53+08:00 ] /thinkphpTest/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.015717s ]
[ 2015-06-10T23:26:53+08:00 ] /thinkphpTest/ | INFO: Run ShowRuntime Behavior [ RunTime:0.002596s ]
[ 2015-06-10T23:26:53+08:00 ] /thinkphpTest/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.052928s ]
[ 2015-06-10T23:26:53+08:00 ] /thinkphpTest/ | INFO: Tag[ view_end ] --START--
[ 2015-06-10T23:26:53+08:00 ] /thinkphpTest/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.010173s ]
[ 2015-06-10T23:26:53+08:00 ] /thinkphpTest/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.010337s ]
[ 2015-06-10T23:26:54+08:00 ] /thinkphpTest/ | INFO: Tag[ app_begin ] --START--
[ 2015-06-10T23:26:54+08:00 ] /thinkphpTest/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001076s ]
[ 2015-06-10T23:26:54+08:00 ] /thinkphpTest/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001182s ]
[ 2015-06-10T23:26:54+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined index:  customer_user BaseAction.class.php 第 7 行.
[ 2015-06-10T23:26:54+08:00 ] /thinkphpTest/ | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.012136s ]
[ 2015-06-10T23:26:54+08:00 ] /thinkphpTest/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` WHERE isSubmitted=1 LIMIT 1   [ RunTime:0.005562s ]
[ 2015-06-10T23:26:54+08:00 ] /thinkphpTest/ | SQL: SELECT * FROM `think_article` LEFT JOIN think_category on think_article.categoryId=think_category.categoryId WHERE isSubmitted=1 ORDER BY id LIMIT 0,5   [ RunTime:0.000243s ]
[ 2015-06-10T23:26:54+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined variable: next_link_cate IndexAction.class.php 第 28 行.
[ 2015-06-10T23:26:54+08:00 ] /thinkphpTest/ | SQL: SHOW COLUMNS FROM `think_category` [ RunTime:0.003450s ]
[ 2015-06-10T23:26:54+08:00 ] /thinkphpTest/ | SQL: SELECT * FROM `think_category`  [ RunTime:0.017886s ]
[ 2015-06-10T23:26:54+08:00 ] /thinkphpTest/ | INFO: Tag[ view_template ] --START--
[ 2015-06-10T23:26:54+08:00 ] /thinkphpTest/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001510s ]
[ 2015-06-10T23:26:54+08:00 ] /thinkphpTest/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001572s ]
[ 2015-06-10T23:26:54+08:00 ] /thinkphpTest/ | INFO: Tag[ view_parse ] --START--
[ 2015-06-10T23:26:54+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined index:  memo 7e4848229090366086cc7eeb3bfc0798.php 第 43 行.
[ 2015-06-10T23:26:54+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined index:  works 7e4848229090366086cc7eeb3bfc0798.php 第 44 行.
[ 2015-06-10T23:26:54+08:00 ] /thinkphpTest/ | INFO: Run ParseTemplate Behavior [ RunTime:0.021724s ]
[ 2015-06-10T23:26:54+08:00 ] /thinkphpTest/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.021805s ]
[ 2015-06-10T23:26:54+08:00 ] /thinkphpTest/ | INFO: Tag[ view_filter ] --START--
[ 2015-06-10T23:26:54+08:00 ] /thinkphpTest/ | INFO: Run ContentReplace Behavior [ RunTime:0.000929s ]
[ 2015-06-10T23:26:54+08:00 ] /thinkphpTest/ | INFO: Run TokenBuild Behavior [ RunTime:0.001008s ]
[ 2015-06-10T23:26:54+08:00 ] /thinkphpTest/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000871s ]
[ 2015-06-10T23:26:54+08:00 ] /thinkphpTest/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000838s ]
[ 2015-06-10T23:26:54+08:00 ] /thinkphpTest/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003856s ]
[ 2015-06-10T23:26:54+08:00 ] /thinkphpTest/ | INFO: Tag[ view_end ] --START--
[ 2015-06-10T23:26:54+08:00 ] /thinkphpTest/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000872s ]
[ 2015-06-10T23:26:54+08:00 ] /thinkphpTest/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000947s ]
[ 2015-06-10T23:26:56+08:00 ] /thinkphpTest/Index/blog/id/49 | INFO: Tag[ route_check ] --START--
[ 2015-06-10T23:26:56+08:00 ] /thinkphpTest/Index/blog/id/49 | INFO: Run CheckRoute Behavior [ RunTime:0.033572s ]
[ 2015-06-10T23:26:56+08:00 ] /thinkphpTest/Index/blog/id/49 | INFO: Tag[ route_check ] --END-- [ RunTime:0.033705s ]
[ 2015-06-10T23:26:56+08:00 ] /thinkphpTest/Index/blog/id/49 | INFO: Tag[ app_begin ] --START--
[ 2015-06-10T23:26:56+08:00 ] /thinkphpTest/Index/blog/id/49 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000554s ]
[ 2015-06-10T23:26:56+08:00 ] /thinkphpTest/Index/blog/id/49 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000615s ]
[ 2015-06-10T23:26:56+08:00 ] /thinkphpTest/Index/blog/id/49 | NOTIC: [8] Undefined index:  customer_user BaseAction.class.php 第 7 行.
[ 2015-06-10T23:26:56+08:00 ] /thinkphpTest/Index/blog/id/49 | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.044703s ]
[ 2015-06-10T23:26:56+08:00 ] /thinkphpTest/Index/blog/id/49 | SQL: SELECT * FROM `think_article` LEFT JOIN think_category on think_article.categoryId=think_category.categoryId WHERE id=49 LIMIT 1   [ RunTime:0.006240s ]
[ 2015-06-10T23:26:56+08:00 ] /thinkphpTest/Index/blog/id/49 | SQL: SELECT `id` FROM `think_article` WHERE id<49 and isSubmitted=1 ORDER BY id desc LIMIT 1   [ RunTime:0.000328s ]
[ 2015-06-10T23:26:56+08:00 ] /thinkphpTest/Index/blog/id/49 | SQL: SELECT `id` FROM `think_article` WHERE id>49 and isSubmitted=1 ORDER BY id LIMIT 1   [ RunTime:0.000246s ]
[ 2015-06-10T23:26:56+08:00 ] /thinkphpTest/Index/blog/id/49 | SQL: SHOW COLUMNS FROM `think_category` [ RunTime:0.003021s ]
[ 2015-06-10T23:26:56+08:00 ] /thinkphpTest/Index/blog/id/49 | SQL: SELECT * FROM `think_category`  [ RunTime:0.003456s ]
[ 2015-06-10T23:26:56+08:00 ] /thinkphpTest/Index/blog/id/49 | INFO: Tag[ view_template ] --START--
[ 2015-06-10T23:26:56+08:00 ] /thinkphpTest/Index/blog/id/49 | INFO: Run LocationTemplate Behavior [ RunTime:0.001070s ]
[ 2015-06-10T23:26:56+08:00 ] /thinkphpTest/Index/blog/id/49 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001130s ]
[ 2015-06-10T23:26:56+08:00 ] /thinkphpTest/Index/blog/id/49 | INFO: Tag[ view_parse ] --START--
[ 2015-06-10T23:26:56+08:00 ] /thinkphpTest/Index/blog/id/49 | NOTIC: [8] Undefined index:  memo 2387c9611647ca5bbeeb0c2824eaf5f8.php 第 44 行.
[ 2015-06-10T23:26:56+08:00 ] /thinkphpTest/Index/blog/id/49 | NOTIC: [8] Undefined index:  works 2387c9611647ca5bbeeb0c2824eaf5f8.php 第 45 行.
[ 2015-06-10T23:26:56+08:00 ] /thinkphpTest/Index/blog/id/49 | INFO: Run ParseTemplate Behavior [ RunTime:0.045684s ]
[ 2015-06-10T23:26:56+08:00 ] /thinkphpTest/Index/blog/id/49 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.045765s ]
[ 2015-06-10T23:26:56+08:00 ] /thinkphpTest/Index/blog/id/49 | INFO: Tag[ view_filter ] --START--
[ 2015-06-10T23:26:56+08:00 ] /thinkphpTest/Index/blog/id/49 | INFO: Run ContentReplace Behavior [ RunTime:0.000496s ]
[ 2015-06-10T23:26:56+08:00 ] /thinkphpTest/Index/blog/id/49 | INFO: Run TokenBuild Behavior [ RunTime:0.000486s ]
[ 2015-06-10T23:26:56+08:00 ] /thinkphpTest/Index/blog/id/49 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000272s ]
