[ 2015-03-17T19:32:45+08:00 ] /thinkphpTest/ | INFO: Tag[ app_begin ] --START--
[ 2015-03-17T19:32:45+08:00 ] /thinkphpTest/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000714s ]
[ 2015-03-17T19:32:45+08:00 ] /thinkphpTest/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000810s ]
[ 2015-03-17T19:32:45+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined index:  customer_user BaseAction.class.php 第 7 行.
[ 2015-03-17T19:32:45+08:00 ] /thinkphpTest/ | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.081585s ]
[ 2015-03-17T19:32:45+08:00 ] /thinkphpTest/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` WHERE isSubmitted=1 LIMIT 1   [ RunTime:0.007122s ]
[ 2015-03-17T19:32:45+08:00 ] /thinkphpTest/ | SQL: SELECT * FROM `think_article` LEFT JOIN think_category on think_article.categoryId=think_category.categoryId WHERE isSubmitted=1 ORDER BY id LIMIT 0,5   [ RunTime:0.033100s ]
[ 2015-03-17T19:32:45+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined variable: next_link_cate IndexAction.class.php 第 28 行.
[ 2015-03-17T19:32:45+08:00 ] /thinkphpTest/ | SQL: SHOW COLUMNS FROM `think_category` [ RunTime:0.003545s ]
[ 2015-03-17T19:32:45+08:00 ] /thinkphpTest/ | SQL: SELECT * FROM `think_category`  [ RunTime:0.015916s ]
[ 2015-03-17T19:32:45+08:00 ] /thinkphpTest/ | INFO: Tag[ view_template ] --START--
[ 2015-03-17T19:32:45+08:00 ] /thinkphpTest/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001244s ]
[ 2015-03-17T19:32:45+08:00 ] /thinkphpTest/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001322s ]
[ 2015-03-17T19:32:45+08:00 ] /thinkphpTest/ | INFO: Tag[ view_parse ] --START--
[ 2015-03-17T19:32:45+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined index:  memo 7e4848229090366086cc7eeb3bfc0798.php 第 43 行.
[ 2015-03-17T19:32:45+08:00 ] /thinkphpTest/ | INFO: Run ParseTemplate Behavior [ RunTime:0.119820s ]
[ 2015-03-17T19:32:45+08:00 ] /thinkphpTest/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.119905s ]
[ 2015-03-17T19:32:45+08:00 ] /thinkphpTest/ | INFO: Tag[ view_filter ] --START--
[ 2015-03-17T19:32:45+08:00 ] /thinkphpTest/ | INFO: Run ContentReplace Behavior [ RunTime:0.000377s ]
[ 2015-03-17T19:32:45+08:00 ] /thinkphpTest/ | INFO: Run TokenBuild Behavior [ RunTime:0.000354s ]
[ 2015-03-17T19:32:45+08:00 ] /thinkphpTest/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000200s ]
[ 2015-03-17T19:32:45+08:00 ] /thinkphpTest/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000396s ]
[ 2015-03-17T19:32:45+08:00 ] /thinkphpTest/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001467s ]
[ 2015-03-17T19:32:45+08:00 ] /thinkphpTest/ | INFO: Tag[ view_end ] --START--
[ 2015-03-17T19:32:45+08:00 ] /thinkphpTest/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000353s ]
[ 2015-03-17T19:32:45+08:00 ] /thinkphpTest/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000403s ]
[ 2015-03-17T19:32:46+08:00 ] /thinkphpTest/ | INFO: Tag[ app_begin ] --START--
[ 2015-03-17T19:32:46+08:00 ] /thinkphpTest/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001656s ]
[ 2015-03-17T19:32:46+08:00 ] /thinkphpTest/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001835s ]
[ 2015-03-17T19:32:46+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined index:  customer_user BaseAction.class.php 第 7 行.
[ 2015-03-17T19:32:46+08:00 ] /thinkphpTest/ | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.006536s ]
[ 2015-03-17T19:32:46+08:00 ] /thinkphpTest/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` WHERE isSubmitted=1 LIMIT 1   [ RunTime:0.011172s ]
[ 2015-03-17T19:32:46+08:00 ] /thinkphpTest/ | SQL: SELECT * FROM `think_article` LEFT JOIN think_category on think_article.categoryId=think_category.categoryId WHERE isSubmitted=1 ORDER BY id LIMIT 0,5   [ RunTime:0.000284s ]
[ 2015-03-17T19:32:46+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined variable: next_link_cate IndexAction.class.php 第 28 行.
[ 2015-03-17T19:32:46+08:00 ] /thinkphpTest/ | SQL: SHOW COLUMNS FROM `think_category` [ RunTime:0.002394s ]
[ 2015-03-17T19:32:46+08:00 ] /thinkphpTest/ | SQL: SELECT * FROM `think_category`  [ RunTime:0.002808s ]
[ 2015-03-17T19:32:46+08:00 ] /thinkphpTest/ | INFO: Tag[ view_template ] --START--
[ 2015-03-17T19:32:46+08:00 ] /thinkphpTest/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001427s ]
[ 2015-03-17T19:32:46+08:00 ] /thinkphpTest/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001492s ]
[ 2015-03-17T19:32:46+08:00 ] /thinkphpTest/ | INFO: Tag[ view_parse ] --START--
[ 2015-03-17T19:32:46+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined index:  memo 7e4848229090366086cc7eeb3bfc0798.php 第 43 行.
[ 2015-03-17T19:32:46+08:00 ] /thinkphpTest/ | INFO: Run ParseTemplate Behavior [ RunTime:0.021132s ]
[ 2015-03-17T19:32:46+08:00 ] /thinkphpTest/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.021199s ]
[ 2015-03-17T19:32:46+08:00 ] /thinkphpTest/ | INFO: Tag[ view_filter ] --START--
[ 2015-03-17T19:32:46+08:00 ] /thinkphpTest/ | INFO: Run ContentReplace Behavior [ RunTime:0.000843s ]
[ 2015-03-17T19:32:46+08:00 ] /thinkphpTest/ | INFO: Run TokenBuild Behavior [ RunTime:0.000926s ]
[ 2015-03-17T19:32:46+08:00 ] /thinkphpTest/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000585s ]
[ 2015-03-17T19:32:46+08:00 ] /thinkphpTest/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000786s ]
