[ 2015-04-02T15:46:16+08:00 ] /thinkphpTest/ | INFO: Tag[ app_begin ] --START--
[ 2015-04-02T15:46:16+08:00 ] /thinkphpTest/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001558s ]
[ 2015-04-02T15:46:16+08:00 ] /thinkphpTest/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001831s ]
[ 2015-04-02T15:46:16+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined index:  customer_user BaseAction.class.php 第 7 行.
[ 2015-04-02T15:46:17+08:00 ] /thinkphpTest/ | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.073296s ]
[ 2015-04-02T15:46:17+08:00 ] /thinkphpTest/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` WHERE isSubmitted=1 LIMIT 1   [ RunTime:0.025480s ]
[ 2015-04-02T15:46:17+08:00 ] /thinkphpTest/ | SQL: SELECT * FROM `think_article` LEFT JOIN think_category on think_article.categoryId=think_category.categoryId WHERE isSubmitted=1 ORDER BY id LIMIT 0,5   [ RunTime:0.032540s ]
[ 2015-04-02T15:46:17+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined variable: next_link_cate IndexAction.class.php 第 28 行.
[ 2015-04-02T15:46:17+08:00 ] /thinkphpTest/ | SQL: SHOW COLUMNS FROM `think_category` [ RunTime:0.008139s ]
[ 2015-04-02T15:46:17+08:00 ] /thinkphpTest/ | SQL: SELECT * FROM `think_category`  [ RunTime:0.012962s ]
[ 2015-04-02T15:46:17+08:00 ] /thinkphpTest/ | INFO: Tag[ view_template ] --START--
[ 2015-04-02T15:46:17+08:00 ] /thinkphpTest/ | INFO: Run LocationTemplate Behavior [ RunTime:0.013700s ]
[ 2015-04-02T15:46:17+08:00 ] /thinkphpTest/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.013879s ]
[ 2015-04-02T15:46:17+08:00 ] /thinkphpTest/ | INFO: Tag[ view_parse ] --START--
[ 2015-04-02T15:46:17+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined index:  memo 7e4848229090366086cc7eeb3bfc0798.php 第 43 行.
[ 2015-04-02T15:46:17+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined index:  works 7e4848229090366086cc7eeb3bfc0798.php 第 44 行.
[ 2015-04-02T15:46:17+08:00 ] /thinkphpTest/ | INFO: Run ParseTemplate Behavior [ RunTime:0.153396s ]
[ 2015-04-02T15:46:17+08:00 ] /thinkphpTest/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.153558s ]
[ 2015-04-02T15:46:17+08:00 ] /thinkphpTest/ | INFO: Tag[ view_filter ] --START--
[ 2015-04-02T15:46:17+08:00 ] /thinkphpTest/ | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2015-04-02T15:46:17+08:00 ] /thinkphpTest/ | INFO: Run TokenBuild Behavior [ RunTime:0.000950s ]
[ 2015-04-02T15:46:17+08:00 ] /thinkphpTest/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000552s ]
[ 2015-04-02T15:46:17+08:00 ] /thinkphpTest/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001075s ]
[ 2015-04-02T15:46:17+08:00 ] /thinkphpTest/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004028s ]
[ 2015-04-02T15:46:17+08:00 ] /thinkphpTest/ | INFO: Tag[ view_end ] --START--
[ 2015-04-02T15:46:17+08:00 ] /thinkphpTest/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001262s ]
[ 2015-04-02T15:46:17+08:00 ] /thinkphpTest/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001447s ]
[ 2015-04-02T15:46:20+08:00 ] /thinkphpTest/ | INFO: Tag[ app_begin ] --START--
